,class
3116,b'0'
1615,b'0'
584,b'0'
5071,b'0'
3305,b'0'
2221,b'0'
5164,b'0'
465,b'0'
640,b'0'
5185,b'0'
173,b'0'
5747,b'1'
1525,b'0'
1670,b'0'
1985,b'0'
717,b'0'
1490,b'0'
4546,b'0'
99,b'0'
4068,b'0'
5065,b'0'
1029,b'0'
5478,b'0'
5459,b'0'
2689,b'0'
3886,b'0'
2946,b'0'
1208,b'0'
3309,b'0'
1425,b'0'
1078,b'0'
329,b'0'
3639,b'0'
4749,b'0'
2935,b'0'
3417,b'0'
2167,b'0'
4920,b'0'
1859,b'0'
5749,b'1'
2206,b'0'
273,b'0'
2333,b'0'
3200,b'0'
653,b'0'
2438,b'0'
510,b'0'
1872,b'0'
4522,b'0'
5468,b'0'
2178,b'0'
4112,b'0'
983,b'0'
2243,b'0'
3788,b'0'
4288,b'0'
2148,b'0'
5879,b'1'
1337,b'0'
5544,b'1'
378,b'0'
1571,b'0'
933,b'0'
480,b'0'
2050,b'0'
488,b'0'
4948,b'0'
935,b'0'
3758,b'0'
483,b'0'
492,b'0'
5221,b'0'
4049,b'0'
5257,b'0'
316,b'0'
3115,b'0'
4789,b'0'
1613,b'0'
1280,b'0'
3404,b'0'
1965,b'0'
5162,b'0'
4990,b'0'
4070,b'0'
190,b'0'
5029,b'0'
4140,b'0'
3763,b'0'
1572,b'0'
3630,b'0'
4326,b'0'
1786,b'0'
5338,b'0'
5677,b'1'
3278,b'0'
799,b'0'
2702,b'0'
5648,b'1'
1500,b'0'
1416,b'0'
371,b'0'
4508,b'0'
4494,b'0'
4931,b'0'
4915,b'0'
379,b'0'
2620,b'0'
3302,b'0'
5131,b'0'
672,b'0'
2045,b'0'
3015,b'0'
2524,b'0'
2807,b'0'
365,b'0'
4013,b'0'
3107,b'0'
83,b'0'
2815,b'0'
5128,b'0'
2289,b'0'
1421,b'0'
4984,b'0'
2696,b'0'
1909,b'0'
523,b'0'
5651,b'1'
5807,b'1'
616,b'0'
1617,b'0'
2763,b'0'
3589,b'0'
4443,b'0'
980,b'0'
3622,b'0'
4045,b'0'
1151,b'0'
5150,b'0'
1681,b'0'
4862,b'0'
3950,b'0'
3093,b'0'
3310,b'0'
3165,b'0'
1886,b'0'
3961,b'0'
4263,b'0'
3204,b'0'
2218,b'0'
1555,b'0'
622,b'0'
3301,b'0'
4252,b'0'
1420,b'0'
1126,b'0'
3418,b'0'
5907,b'1'
3373,b'0'
5028,b'0'
2519,b'0'
489,b'0'
1316,b'0'
4010,b'0'
5837,b'1'
4783,b'0'
1229,b'0'
84,b'0'
5287,b'0'
2285,b'0'
45,b'0'
21,b'0'
1218,b'0'
3641,b'0'
2123,b'0'
2539,b'0'
1392,b'0'
1501,b'0'
749,b'0'
4664,b'0'
3521,b'0'
4877,b'0'
669,b'0'
1843,b'0'
5588,b'1'
1979,b'0'
2029,b'0'
51,b'0'
2835,b'0'
1505,b'0'
3198,b'0'
3766,b'0'
4211,b'0'
3539,b'0'
1913,b'0'
4841,b'0'
954,b'0'
425,b'0'
4876,b'0'
4396,b'0'
2600,b'0'
3076,b'0'
2319,b'0'
846,b'0'
1770,b'0'
1003,b'0'
4627,b'0'
1635,b'0'
2875,b'0'
1944,b'0'
4996,b'0'
2313,b'0'
5571,b'1'
4867,b'0'
1714,b'0'
3330,b'0'
5524,b'1'
384,b'0'
5286,b'0'
5301,b'0'
3953,b'0'
2996,b'0'
4306,b'0'
2223,b'0'
4448,b'0'
1077,b'0'
4961,b'0'
2084,b'0'
5304,b'0'
2479,b'0'
250,b'0'
2400,b'0'
197,b'0'
191,b'0'
3253,b'0'
1116,b'0'
2536,b'0'
1071,b'0'
1811,b'0'
357,b'0'
2687,b'0'
4305,b'0'
2431,b'0'
4600,b'0'
4752,b'0'
727,b'0'
4805,b'0'
195,b'0'
2469,b'0'
4543,b'0'
5765,b'1'
5528,b'1'
5683,b'1'
553,b'0'
1610,b'0'
4442,b'0'
4944,b'0'
4991,b'0'
466,b'0'
4577,b'0'
756,b'0'
2299,b'0'
1764,b'0'
2261,b'0'
1359,b'0'
5027,b'0'
5049,b'0'
3476,b'0'
5317,b'0'
5744,b'1'
3049,b'0'
141,b'0'
232,b'0'
3233,b'0'
3226,b'0'
1482,b'0'
4464,b'0'
1403,b'0'
4208,b'0'
5668,b'1'
3009,b'0'
5487,b'0'
2101,b'0'
4430,b'0'
1260,b'0'
1973,b'0'
4074,b'0'
2777,b'0'
2150,b'0'
4758,b'0'
1867,b'0'
2976,b'0'
3137,b'0'
3562,b'0'
4685,b'0'
662,b'0'
943,b'0'
412,b'0'
5202,b'0'
1343,b'0'
87,b'0'
3602,b'0'
5079,b'0'
685,b'0'
3668,b'0'
3101,b'0'
5177,b'0'
1640,b'0'
2532,b'0'
4751,b'0'
838,b'0'
2046,b'0'
5883,b'1'
4314,b'0'
4216,b'0'
526,b'0'
505,b'0'
5691,b'1'
1548,b'0'
3,b'0'
1777,b'0'
277,b'0'
1692,b'0'
3017,b'0'
1376,b'0'
3185,b'0'
3910,b'0'
2596,b'0'
4327,b'0'
4365,b'0'
5434,b'0'
1191,b'0'
3782,b'0'
214,b'0'
4924,b'0'
5545,b'1'
3625,b'0'
5200,b'0'
2867,b'0'
2637,b'0'
2125,b'0'
5535,b'1'
3673,b'0'
5297,b'0'
5521,b'1'
5184,b'0'
3265,b'0'
65,b'0'
856,b'0'
5728,b'1'
85,b'0'
3023,b'0'
5089,b'0'
5888,b'1'
5035,b'0'
4250,b'0'
2719,b'0'
5348,b'0'
5782,b'1'
3095,b'0'
354,b'0'
1338,b'0'
1807,b'0'
2959,b'0'
419,b'0'
2789,b'0'
563,b'0'
5778,b'1'
765,b'0'
4707,b'0'
4125,b'0'
5310,b'0'
4755,b'0'
2792,b'0'
4560,b'0'
4157,b'0'
4339,b'0'
4762,b'0'
311,b'0'
1595,b'0'
2136,b'0'
4729,b'0'
5147,b'0'
2778,b'0'
5676,b'1'
3002,b'0'
711,b'0'
5605,b'1'
2538,b'0'
576,b'0'
3437,b'0'
1837,b'0'
1517,b'0'
507,b'0'
606,b'0'
3080,b'0'
5178,b'0'
2392,b'0'
665,b'0'
2355,b'0'
5818,b'1'
4679,b'0'
3988,b'0'
5745,b'1'
5665,b'1'
3925,b'0'
3368,b'0'
430,b'0'
1983,b'0'
331,b'0'
832,b'0'
2501,b'0'
2370,b'0'
5532,b'1'
1999,b'0'
4873,b'0'
1713,b'0'
3021,b'0'
2643,b'0'
2798,b'0'
5008,b'0'
2756,b'0'
4529,b'0'
2389,b'0'
1022,b'0'
1881,b'0'
4851,b'0'
964,b'0'
3248,b'0'
4155,b'0'
4156,b'0'
5727,b'1'
4416,b'0'
3544,b'0'
2190,b'0'
1132,b'0'
5299,b'0'
3528,b'0'
1076,b'0'
5278,b'0'
4206,b'0'
1752,b'0'
203,b'0'
4602,b'0'
1389,b'0'
874,b'0'
5873,b'1'
1015,b'0'
457,b'0'
5208,b'0'
3572,b'0'
1196,b'0'
876,b'0'
3632,b'0'
3656,b'0'
4244,b'0'
3014,b'0'
4588,b'0'
3069,b'0'
4778,b'0'
3111,b'0'
2090,b'0'
3718,b'0'
3913,b'0'
5853,b'1'
823,b'0'
915,b'0'
3020,b'0'
4043,b'0'
327,b'0'
2473,b'0'
2766,b'0'
3557,b'0'
625,b'0'
4619,b'0'
4394,b'0'
697,b'0'
255,b'0'
1153,b'0'
519,b'0'
2601,b'0'
1516,b'0'
2833,b'0'
3096,b'0'
5033,b'0'
1089,b'0'
567,b'0'
2631,b'0'
1328,b'0'
2047,b'0'
3505,b'0'
1464,b'0'
2096,b'0'
258,b'0'
405,b'0'
690,b'0'
5345,b'0'
1332,b'0'
4898,b'0'
2567,b'0'
651,b'0'
93,b'0'
4227,b'0'
1856,b'0'
4518,b'0'
239,b'0'
5187,b'0'
1793,b'0'
4053,b'0'
1521,b'0'
4824,b'0'
520,b'0'
4142,b'0'
1835,b'0'
1106,b'0'
1321,b'0'
3128,b'0'
3383,b'0'
1294,b'0'
4386,b'0'
5123,b'0'
3441,b'0'
4344,b'0'
1847,b'0'
4158,b'0'
2446,b'0'
1801,b'0'
4213,b'0'
1857,b'0'
554,b'0'
2803,b'0'
1706,b'0'
2350,b'0'
1323,b'0'
3487,b'0'
3237,b'0'
5324,b'0'
58,b'0'
5294,b'0'
992,b'0'
479,b'0'
4425,b'0'
4220,b'0'
1632,b'0'
5680,b'1'
5697,b'1'
1156,b'0'
1454,b'0'
1917,b'0'
5726,b'1'
2489,b'0'
451,b'0'
2236,b'0'
1110,b'0'
2988,b'0'
5102,b'0'
894,b'0'
4435,b'0'
2740,b'0'
4925,b'0'
4819,b'0'
545,b'0'
5627,b'1'
4774,b'0'
3900,b'0'
1175,b'0'
3424,b'0'
3171,b'0'
1468,b'0'
1622,b'0'
585,b'0'
892,b'0'
733,b'0'
2284,b'0'
4381,b'0'
957,b'0'
3147,b'0'
5315,b'0'
210,b'0'
2081,b'0'
5523,b'1'
55,b'0'
1276,b'0'
555,b'0'
2107,b'0'
3189,b'0'
350,b'0'
2443,b'0'
2026,b'0'
4147,b'0'
2157,b'0'
1180,b'0'
1588,b'0'
4391,b'0'
677,b'0'
3162,b'0'
1875,b'0'
1953,b'0'
4026,b'0'
3268,b'0'
3842,b'0'
1152,b'0'
4885,b'0'
3653,b'0'
859,b'0'
5404,b'0'
2088,b'0'
4952,b'0'
3097,b'0'
243,b'0'
3088,b'0'
17,b'0'
485,b'0'
5886,b'1'
2198,b'0'
4746,b'0'
3721,b'0'
3446,b'0'
3643,b'0'
5817,b'1'
4505,b'0'
4382,b'0'
4493,b'0'
4159,b'0'
1513,b'0'
962,b'0'
4017,b'0'
4520,b'0'
2531,b'0'
5657,b'1'
3496,b'0'
2104,b'0'
423,b'0'
3599,b'0'
5634,b'1'
2999,b'0'
2147,b'0'
4971,b'0'
3685,b'0'
5669,b'1'
2767,b'0'
209,b'0'
4301,b'0'
3321,b'0'
2831,b'0'
91,b'0'
4639,b'0'
4273,b'0'
1387,b'0'
4470,b'0'
4856,b'0'
3609,b'0'
1459,b'0'
3980,b'0'
5212,b'0'
2869,b'0'
1874,b'0'
245,b'0'
4625,b'0'
2985,b'0'
726,b'0'
455,b'0'
611,b'0'
712,b'0'
1177,b'0'
3194,b'0'
5851,b'1'
139,b'0'
4704,b'0'
5893,b'1'
3025,b'0'
701,b'0'
2342,b'0'
447,b'0'
4642,b'0'
4688,b'0'
2830,b'0'
198,b'0'
3882,b'0'
1711,b'0'
2246,b'0'
4710,b'0'
1550,b'0'
4934,b'0'
2900,b'0'
5220,b'0'
5446,b'0'
2910,b'0'
3836,b'0'
134,b'0'
1652,b'0'
1702,b'0'
3695,b'0'
4465,b'0'
3195,b'0'
4131,b'0'
5775,b'1'
1211,b'0'
538,b'0'
49,b'0'
2425,b'0'
1301,b'0'
3834,b'0'
34,b'0'
132,b'0'
3182,b'0'
4350,b'0'
3498,b'0'
3769,b'0'
409,b'0'
649,b'0'
4964,b'0'
2051,b'0'
5421,b'0'
2225,b'0'
185,b'0'
2571,b'0'
1810,b'0'
2433,b'0'
1705,b'0'
4740,b'0'
4561,b'0'
1870,b'0'
5163,b'0'
934,b'0'
2770,b'0'
596,b'0'
2937,b'0'
5303,b'0'
5011,b'0'
4179,b'0'
540,b'0'
4610,b'0'
4742,b'0'
4859,b'0'
1536,b'0'
2266,b'0'
3154,b'0'
737,b'0'
2584,b'0'
2647,b'0'
679,b'0'
2351,b'0'
3089,b'0'
882,b'0'
287,b'0'
720,b'0'
3439,b'0'
4337,b'0'
1638,b'0'
1898,b'0'
4690,b'0'
1278,b'0'
5365,b'0'
667,b'0'
2464,b'0'
5390,b'0'
4066,b'0'
4429,b'0'
2121,b'0'
4164,b'0'
2510,b'0'
1136,b'0'
4161,b'0'
2233,b'0'
985,b'0'
4607,b'0'
2471,b'0'
873,b'0'
2537,b'0'
2451,b'0'
3209,b'0'
5235,b'0'
2691,b'0'
5631,b'1'
5440,b'0'
1737,b'0'
4917,b'0'
417,b'0'
2480,b'0'
1592,b'0'
4737,b'0'
268,b'0'
4488,b'0'
2785,b'0'
4832,b'0'
1683,b'0'
5344,b'0'
4048,b'0'
4892,b'0'
5734,b'1'
2017,b'0'
5802,b'1'
2159,b'0'
2066,b'0'
1128,b'0'
4786,b'0'
5854,b'1'
429,b'0'
4955,b'0'
163,b'0'
4820,b'0'
4103,b'0'
2827,b'0'
3531,b'0'
562,b'0'
3794,b'0'
3241,b'0'
5602,b'1'
4558,b'0'
73,b'0'
3923,b'0'
5140,b'0'
5402,b'0'
2297,b'0'
4663,b'0'
4463,b'0'
2170,b'0'
2334,b'0'
3151,b'0'
1596,b'0'
5573,b'1'
5384,b'0'
1515,b'0'
3469,b'0'
3391,b'0'
2042,b'0'
5850,b'1'
2237,b'0'
858,b'0'
5609,b'1'
3958,b'0'
1157,b'0'
4187,b'0'
5550,b'1'
2165,b'0'
2003,b'0'
4583,b'0'
3948,b'0'
2755,b'0'
4060,b'0'
1146,b'0'
3222,b'0'
5189,b'0'
2892,b'0'
4833,b'0'
3932,b'0'
48,b'0'
5149,b'0'
1710,b'0'
5751,b'1'
3827,b'0'
5050,b'0'
1248,b'0'
5153,b'0'
3464,b'0'
5012,b'0'
2503,b'0'
5460,b'0'
3188,b'0'
2737,b'0'
201,b'0'
597,b'0'
4499,b'0'
1393,b'0'
3397,b'0'
2856,b'0'
2843,b'0'
2052,b'0'
4767,b'0'
5143,b'0'
1265,b'0'
5861,b'1'
2520,b'0'
5236,b'0'
4858,b'0'
3040,b'0'
481,b'0'
636,b'0'
3921,b'0'
257,b'0'
5055,b'0'
3158,b'0'
5359,b'0'
2511,b'0'
2775,b'0'
4144,b'0'
1720,b'0'
4640,b'0'
2783,b'0'
4098,b'0'
1934,b'0'
3509,b'0'
5568,b'1'
2275,b'0'
4402,b'0'
3479,b'0'
3762,b'0'
1397,b'0'
4318,b'0'
5097,b'0'
658,b'0'
2512,b'0'
2420,b'0'
3992,b'0'
1537,b'0'
2172,b'0'
3090,b'0'
5466,b'0'
944,b'0'
4670,b'0'
5855,b'1'
3299,b'0'
4678,b'0'
2862,b'0'
4507,b'0'
4335,b'0'
1163,b'0'
5819,b'1'
3126,b'0'
3480,b'0'
2606,b'0'
12,b'0'
4514,b'0'
5748,b'1'
3246,b'0'
304,b'0'
3636,b'0'
3594,b'0'
4574,b'0'
1005,b'0'
5374,b'0'
3224,b'0'
5370,b'0'
2428,b'0'
3139,b'0'
2058,b'0'
3892,b'0'
3621,b'0'
1930,b'0'
2817,b'0'
376,b'0'
785,b'0'
4376,b'0'
2497,b'0'
5638,b'1'
1509,b'0'
4272,b'0'
5290,b'0'
927,b'0'
3658,b'0'
3169,b'0'
3592,b'0'
1061,b'0'
1691,b'0'
906,b'0'
1637,b'0'
4998,b'0'
5805,b'1'
1384,b'0'
5794,b'1'
4228,b'0'
5181,b'0'
1426,b'0'
2260,b'0'
5203,b'0'
4221,b'0'
1019,b'0'
4460,b'0'
4591,b'0'
1648,b'0'
4446,b'0'
4485,b'0'
5897,b'1'
4196,b'0'
3997,b'0'
783,b'0'
3742,b'0'
2585,b'0'
2302,b'0'
5256,b'0'
3789,b'0'
5515,b'1'
3005,b'0'
5899,b'1'
991,b'0'
2670,b'0'
2616,b'0'
363,b'0'
3078,b'0'
5554,b'1'
5770,b'1'
1197,b'0'
3061,b'0'
2441,b'0'
3706,b'0'
909,b'0'
4126,b'0'
1492,b'0'
1209,b'0'
5085,b'0'
5632,b'1'
1111,b'0'
5572,b'1'
3127,b'0'
4246,b'0'
4524,b'0'
3327,b'0'
3595,b'0'
3542,b'0'
4914,b'0'
2734,b'0'
1532,b'0'
637,b'0'
891,b'0'
1503,b'0'
965,b'0'
28,b'0'
2818,b'0'
5801,b'1'
583,b'0'
4255,b'0'
4316,b'0'
2021,b'0'
2385,b'0'
620,b'0'
754,b'0'
2728,b'0'
5406,b'0'
3790,b'0'
313,b'0'
3290,b'0'
5095,b'0'
887,b'0'
229,b'0'
5249,b'0'
4660,b'0'
972,b'0'
5666,b'1'
5229,b'0'
5736,b'1'
5891,b'1'
2960,b'0'
1890,b'0'
4703,b'0'
2354,b'0'
3828,b'0'
2478,b'0'
1695,b'0'
676,b'0'
641,b'0'
2239,b'0'
1075,b'0'
434,b'0'
3998,b'0'
577,b'0'
3214,b'0'
2496,b'0'
4239,b'0'
3880,b'0'
490,b'0'
1744,b'0'
2145,b'0'
1173,b'0'
836,b'0'
1589,b'0'
3216,b'0'
1222,b'0'
3183,b'0'
5437,b'0'
2043,b'0'
1624,b'0'
2712,b'0'
3749,b'0'
3259,b'0'
1140,b'0'
4715,b'0'
2358,b'0'
3915,b'0'
3108,b'0'
4167,b'0'
1334,b'0'
302,b'0'
5105,b'0'
1773,b'0'
1199,b'0'
1549,b'0'
1023,b'0'
233,b'0'
4141,b'0'
5447,b'0'
2365,b'0'
3893,b'0'
5616,b'1'
5355,b'0'
1269,b'0'
3940,b'0'
5730,b'1'
3903,b'0'
4599,b'0'
995,b'0'
5860,b'1'
5293,b'0'
314,b'0'
1838,b'0'
5366,b'0'
2570,b'0'
2475,b'0'
5870,b'1'
5392,b'0'
392,b'0'
4234,b'0'
4809,b'0'
3450,b'0'
2802,b'0'
220,b'0'
1818,b'0'
4105,b'0'
330,b'0'
5262,b'0'
4719,b'0'
5020,b'0'
4612,b'0'
3642,b'0'
1326,b'0'
5039,b'0'
1819,b'0'
5430,b'0'
2834,b'0'
213,b'0'
3561,b'0'
3349,b'0'
930,b'0'
1899,b'0'
928,b'0'
2847,b'0'
3314,b'0'
997,b'0'
3947,b'0'
2903,b'0'
1340,b'0'
3715,b'0'
1045,b'0'
1723,b'0'
4869,b'0'
1448,b'0'
3747,b'0'
4780,b'0'
2291,b'0'
4444,b'0'
2453,b'0'
3529,b'0'
4770,b'0'
716,b'0'
5367,b'0'
782,b'0'
5597,b'1'
3118,b'0'
3419,b'0'
1369,b'0'
2859,b'0'
5391,b'0'
2729,b'0'
3086,b'0'
967,b'0'
5762,b'1'
1924,b'0'
5530,b'1'
471,b'0'
724,b'0'
5464,b'0'
5023,b'0'
5275,b'0'
5448,b'0'
2093,b'0'
5517,b'1'
5556,b'1'
30,b'0'
5261,b'0'
248,b'0'
4319,b'0'
1475,b'0'
5182,b'0'
4963,b'0'
3708,b'0'
1997,b'0'
3352,b'0'
5454,b'0'
3939,b'0'
2032,b'0'
2404,b'0'
3416,b'0'
2055,b'0'
383,b'0'
4652,b'0'
1833,b'0'
2884,b'0'
1724,b'0'
638,b'0'
3388,b'0'
5379,b'0'
3872,b'0'
598,b'0'
3199,b'0'
3805,b'0'
3175,b'0'
2072,b'0'
2455,b'0'
3946,b'0'
3191,b'0'
3620,b'0'
734,b'0'
2209,b'0'
4989,b'0'
61,b'0'
4333,b'0'
178,b'0'
1547,b'0'
4497,b'0'
259,b'0'
445,b'0'
3215,b'0'
857,b'0'
4058,b'0'
106,b'0'
2146,b'0'
5716,b'1'
2550,b'0'
345,b'0'
1821,b'0'
4766,b'0'
5356,b'0'
5768,b'1'
1790,b'0'
5218,b'0'
524,b'0'
4150,b'0'
5753,b'1'
5471,b'0'
5829,b'1'
5630,b'1'
2773,b'0'
773,b'0'
3100,b'0'
746,b'0'
3168,b'0'
4399,b'0'
2889,b'0'
4620,b'0'
290,b'0'
1824,b'0'
2034,b'0'
470,b'0'
5679,b'1'
3849,b'0'
5006,b'0'
2338,b'0'
3835,b'0'
1201,b'0'
4922,b'0'
3686,b'0'
5389,b'0'
3280,b'0'
4356,b'0'
714,b'0'
1479,b'0'
988,b'0'
1285,b'0'
1674,b'0'
4340,b'0'
4484,b'0'
3239,b'0'
3041,b'0'
3779,b'0'
3583,b'0'
2522,b'0'
4691,b'0'
5498,b'0'
2151,b'0'
4782,b'0'
2235,b'0'
5625,b'1'
4323,b'0'
5590,b'1'
907,b'0'
4512,b'0'
5482,b'0'
2826,b'0'
4699,b'0'
3039,b'0'
918,b'0'
4004,b'0'
2618,b'0'
1143,b'0'
796,b'0'
4977,b'0'
5694,b'1'
2711,b'0'
5214,b'0'
464,b'0'
3640,b'0'
38,b'0'
3255,b'0'
2049,b'0'
517,b'0'
2887,b'0'
1437,b'0'
5291,b'0'
5381,b'0'
5724,b'1'
2573,b'0'
1007,b'0'
3336,b'0'
1554,b'0'
5104,b'0'
5732,b'1'
443,b'0'
2132,b'0'
4129,b'0'
2124,b'0'
1728,b'0'
2064,b'0'
1013,b'0'
2945,b'0'
33,b'0'
3919,b'0'
171,b'0'
1314,b'0'
4571,b'0'
691,b'0'
3568,b'0'
4842,b'0'
4128,b'0'
1405,b'0'
2920,b'0'
1415,b'0'
5441,b'0'
2102,b'0'
2622,b'0'
5171,b'0'
1779,b'0'
5785,b'1'
3112,b'0'
4447,b'0'
3501,b'0'
4807,b'0'
3028,b'0'
572,b'0'
5766,b'1'
5637,b'1'
4085,b'0'
5839,b'1'
5364,b'0'
3092,b'0'
5735,b'1'
5295,b'0'
2680,b'0'
2387,b'0'
3812,b'0'
2196,b'0'
4247,b'0'
3845,b'0'
4972,b'0'
1188,b'0'
4072,b'0'
758,b'0'
3123,b'0'
2885,b'0'
2372,b'0'
1122,b'0'
1655,b'0'
3274,b'0'
1826,b'0'
2547,b'0'
5793,b'1'
910,b'0'
422,b'0'
3257,b'0'
879,b'0'
4266,b'0'
4743,b'0'
2423,b'0'
3978,b'0'
5700,b'1'
3106,b'0'
3477,b'0'
2162,b'0'
2033,b'0'
3451,b'0'
4932,b'0'
4976,b'0'
1236,b'0'
3400,b'0'
794,b'0'
3608,b'0'
